VIN (1-10),County,City,State,Postal Code,Model Year,Make,Model,E.V_Type,Electric Range,Base MSRP,Vehicle Location
5YJ3E1EC6L,Kitsap,Poulsbo,WA,98370.0,2020,TESLA,MODEL 3,BEV,308.0,0.0,POINT (-122.6368884 47.7469547)
KNDCC3LG7K,Skagit,La Conner,WA,98257.0,2019,KIA,NIRO,BEV,239.0,0.0,POINT (-122.5009593 48.3900919)
KNDC3DLC4R,Snohomish,Edmonds,WA,98026.0,2024,KIA,EV6,BEV,0.0,0.0,POINT (-122.338942 47.821454)
KM8S7DA28P,Stevens,Kettle Falls,WA,99141.0,2023,HYUNDAI,SANTA FE,PHEV,30.0,0.0,POINT (-118.0710369 48.6308016)
5YJ3E1EA8K,Snohomish,Bothell,WA,98021.0,2019,TESLA,MODEL 3,BEV,220.0,0.0,POINT (-122.2107298 47.7977268)
5YJ3E1EA9K,Skagit,Anacortes,WA,98221.0,2019,TESLA,MODEL 3,BEV,220.0,0.0,POINT (-122.6330168 48.4948674)
KNDRJDLH3N,Snohomish,Edmonds,WA,98026.0,2022,KIA,SORENTO,PHEV,32.0,0.0,POINT (-122.338942 47.821454)
1N4BZ1CP0K,Chelan,Leavenworth,WA,98826.0,2019,NISSAN,LEAF,BEV,150.0,0.0,POINT (-120.6860209 47.7095564)
WBY1Z4C54F,Snohomish,Everett,WA,98201.0,2015,BMW,I3,PHEV,72.0,0.0,POINT (-122.2032447 47.9845088)
5YJ3E1EA7J,Snohomish,Snohomish,WA,98290.0,2018,TESLA,MODEL 3,BEV,215.0,0.0,POINT (-122.0483457 47.9435765)
5YJ3E1EB6L,Snohomish,Everett,WA,98208.0,2020,TESLA,MODEL 3,BEV,322.0,0.0,POINT (-122.2032349 47.8956271)
5UX43EU03S,Yakima,Yakima,WA,98901.0,2025,BMW,X5,PHEV,40.0,0.0,POINT (-120.4688751 46.6046178)
5YJ3E1EB4J,Skagit,La Conner,WA,98257.0,2018,TESLA,MODEL 3,BEV,215.0,0.0,POINT (-122.5009593 48.3900919)
1FMCU0KZ1N,Snohomish,Snohomish,WA,98296.0,2022,FORD,ESCAPE,PHEV,38.0,0.0,POINT (-122.121841 47.841036)
5YJYGDEE3L,Kitsap,Silverdale,WA,98383.0,2020,TESLA,MODEL Y,BEV,291.0,0.0,POINT (-122.7035285 47.660204)
KNDCC3LG5L,King,Renton,WA,98055.0,2020,KIA,NIRO,BEV,239.0,0.0,POINT (-122.2003346 47.4487206)
5YJ3E1EB1R,Thurston,Olympia,WA,98516.0,2024,TESLA,MODEL 3,BEV,0.0,0.0,POINT (-122.78083 47.083975)
1N4AZ0CP2E,Snohomish,Bothell,WA,98012.0,2014,NISSAN,LEAF,BEV,84.0,0.0,POINT (-122.206146 47.839957)
1N4AZ0CP2D,Snohomish,Lynnwood,WA,98087.0,2013,NISSAN,LEAF,BEV,75.0,0.0,POINT (-122.27336 47.861417)
1N4BZ1CP9K,Whitman,Pullman,WA,99163.0,2019,NISSAN,LEAF,BEV,150.0,0.0,POINT (-117.1770648 46.7329687)
KNDPZDAH8P,Snohomish,Everett,WA,98203.0,2023,KIA,SPORTAGE,PHEV,34.0,0.0,POINT (-122.225874 47.945309)
5YJ3E1EA4J,Snohomish,Lynnwood,WA,98087.0,2018,TESLA,MODEL 3,BEV,215.0,0.0,POINT (-122.27336 47.861417)
KNDCD3LD2J,Snohomish,Edmonds,WA,98020.0,2018,KIA,NIRO,PHEV,26.0,0.0,POINT (-122.3757836 47.800042)
5YJ3E1EC1L,Snohomish,Edmonds,WA,98020.0,2020,TESLA,MODEL 3,BEV,308.0,0.0,POINT (-122.3757836 47.800042)
JN1AZ0CP8C,Snohomish,Lynnwood,WA,98037.0,2012,NISSAN,LEAF,BEV,73.0,0.0,POINT (-122.283973 47.838697)
5YJ3E1EA8L,Thurston,Olympia,WA,98501.0,2020,TESLA,MODEL 3,BEV,266.0,0.0,POINT (-122.8733203 47.0133209)
SADHD2S19K,Spokane,Spokane,WA,99203.0,2019,JAGUAR,I-PACE,BEV,234.0,0.0,POINT (-117.402924 47.63041)
3C3CFFGE9D,Spokane,Spokane,WA,99202.0,2013,FIAT,500,BEV,87.0,0.0,POINT (-117.38497 47.657214)
KNDCC3LG0L,Snohomish,Bothell,WA,98012.0,2020,KIA,NIRO,BEV,239.0,0.0,POINT (-122.206146 47.839957)
